file_extension,description,offset,ascii,hex
zip,"zip file format and formats based on it, such asJAR,ODF,OOXML (spanned archive)",0,PK..,50 4B 07 08
jar,"zip file format and formats based on it, such asJAR,ODF,OOXML (spanned archive)",0,PK..,50 4B 07 08
odt,"zip file format and formats based on it, such asJAR,ODF,OOXML (spanned archive)",0,PK..,50 4B 07 08
ods,"zip file format and formats based on it, such asJAR,ODF,OOXML (spanned archive)",0,PK..,50 4B 07 08
odp,"zip file format and formats based on it, such asJAR,ODF,OOXML (spanned archive)",0,PK..,50 4B 07 08
docx,"zip file format and formats based on it, such asJAR,ODF,OOXML (spanned archive)",0,PK..,50 4B 07 08
xlsx,"zip file format and formats based on it, such asJAR,ODF,OOXML (spanned archive)",0,PK..,50 4B 07 08
pptx,"zip file format and formats based on it, such asJAR,ODF,OOXML (spanned archive)",0,PK..,50 4B 07 08
vsdx,"zip file format and formats based on it, such asJAR,ODF,OOXML (spanned archive)",0,PK..,50 4B 07 08
apk,"zip file format and formats based on it, such asJAR,ODF,OOXML (spanned archive)",0,PK..,50 4B 07 08
rar,RAR archive version 1.50 onwards,0,Rar!...,52 61 72 21 1A 07 00
rar,RAR archive version 5.0 onwards,0,Rar!....,52 61 72 21 1A 07 01 00
,Executable and Linkable Format,0,.ELF,7F 45 4C 46
png,Image encoded in thePortable Network Graphics format,0,.PNG....,89 50 4E 47 0D 0A 1A 0A
class,"Java class file,Mach-O Fat Binary",0,Êþº¾,CA FE BA BE
,"UTF-8 encodedUnicodebyte order mark, commonly seen in text files.",0,ï»¿,EF BB BF
,Mach-O binary (32-bit),0,........,FE ED FA CE
,Mach-O binary (32-bit),0x1000,........,FE ED FA CE
,Mach-O binary (64-bit),0,........,FE ED FA CF
,Mach-O binary (64-bit),0x1000,........,FE ED FA CF
,"Mach-O binary (reverse byte ordering scheme, 32-bit)",0,........,CE FA ED FE
,"Mach-O binary (reverse byte ordering scheme, 64-bit)",0,........,CF FA ED FE
,Byte-order mark for text file encoded inlittle-endian16-bit Unicode Transfer Format,0,..,FF FE
,Byte-order mark for text file encoded in little-endian32-bit Unicode Transfer Format,0,....,FF FE 00 00
ps,PostScript document,0,%!PS,25 21 50 53
pdf,PDF document,0,%PDF,25 50 44 46
asf,Advanced Systems Format,0,0&²u.fÏ .¦Ù.ª.bÎl,30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C
wma,Advanced Systems Format,0,0&²u.fÏ .¦Ù.ª.bÎl,30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C
wmv,Advanced Systems Format,0,0&²u.fÏ .¦Ù.ª.bÎl,30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C
,"System Deployment Image, a disk image format used byMicrosoft",0,$SDI0001,24 53 44 49 30 30 30 31
ogg,"Ogg, anopen source media container format",0,OggS,4F 67 67 53
oga,"Ogg, anopen source media container format",0,OggS,4F 67 67 53
ogv,"Ogg, anopen source media container format",0,OggS,4F 67 67 53
psd,"Photoshop Document file,Adobe Photoshop's native file format",0,8BPS,38 42 50 53
wav,Waveform Audio File Format,0,RIFF.... WAVE,52 49 46 46 nn nn nn nn 57 41 56 45
avi,Audio Video Interleave video format,0,RIFF.... AVI.,52 49 46 46 nn nn nn nn  41 56 49 20
mp3,MPEG-1 Layer 3 file without anID3 tag or with anID3v1 tag (which's appended at the end of the file),0,ÿû,FF FB
mp3,MP3 file with an ID3v2 container,0,ID3,49 44 33
bmp,"BMP file, abitmap format used mostly in theWindows world",0,BM,42 4D
dib,"BMP file, abitmap format used mostly in theWindows world",0,BM,42 4D
bmp,"BMP file, abitmap format used mostly in theWindows world",0,BM,42 4D
dib,"BMP file, abitmap format used mostly in theWindows world",0,BM,42 4D
iso,ISO9660 CD/DVD image file,0x8001,CD001,43 44 30 30 31
iso,ISO9660 CD/DVD image file,0x8801,CD001,43 44 30 30 31
iso,ISO9660 CD/DVD image file,0x9001,CD001,43 44 30 30 31
fits,Flexible Image Transport System (FITS),0,SIMPLE   =         T,53 49 4D 50 4C 45 20 203D 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 54
flac,Free Lossless Audio Codec,0,fLaC,66 4C 61 43
mid,MIDI sound file,0,MThd,4D 54 68 64
midi,MIDI sound file,0,MThd,4D 54 68 64
doc,"Compound File Binary Format, a container format used for document by older versions ofMicrosoft Office.It is however an open format used by other programs as well.",,,D0 CF 11 E0 A1 B1 1A E1
xls,"Compound File Binary Format, a container format used for document by older versions ofMicrosoft Office.It is however an open format used by other programs as well.",,,D0 CF 11 E0 A1 B1 1A E1
ppt,"Compound File Binary Format, a container format used for document by older versions ofMicrosoft Office.It is however an open format used by other programs as well.",,,D0 CF 11 E0 A1 B1 1A E1
msg,"Compound File Binary Format, a container format used for document by older versions ofMicrosoft Office.It is however an open format used by other programs as well.",,,D0 CF 11 E0 A1 B1 1A E1
dex,Dalvik Executable,0,dex.035.,64 65 78 0A 30 33 35 00
vmdk,VMDK files,0,KDM,4B 44 4D
crx,Google Chrome extensionor packaged app,0,Cr24,43 72 32 34
fh8,FreeHand 8 document,0,AGD3,41 47 44 33
cwk,AppleWorks 5 document,0,....BOBO ........ ....,05 07 00 00 42 4F 42 4F 05 07 00 00 00 00 00 00 00 00 00 00 00 01
cwk,AppleWorks 6 document,0,....BOBO ........ ....,06 07 E1 00 42 4F 42 4F 06 07 E1 00 00 00 00 00 00 00 00 00 00 01
toast,"RoxioToast disc image file, also some .dmg-files begin with same bytes",0,ER....ãER....,45 52 02 00 00 00 8B 45 52 02 00 00 00
dmg,Apple Disk Image file,0,x.s.bb`,78 01 73 0D 62 62 60
xar,eXtensible Archive format,0,xar!,78 61 72 21
dat,"Windows Files And Settings Transfer Repository, See also USMT 3.0 (Win XP) and USMT 4.0 (Win 7) User Guides",0,PMOCCMOC,50 4D 4F 43 43 4D 4F 43
nes,Nintendo Entertainment System ROM file,0,NES,4E 45 53 1A
tar,tar archive,0x101,ustar.00ustar  .,75 73 74 61 72 00 30 3075 73 74 61 72 20 20 00
tox,Open source portable voxel file,0,TOX,74 6F 78 33
